background,Chrt_ID,이름,Chrt_OnF,Event,Sound,BGM,BGM2,Text,비고
,,,,,,,,제목: 금빛 여명,
Forest_day,,,,,,comfort7,,"(황금빛의 머리카락이 바람을 타고, 그의 뺨을 스쳤다.",숲배경
,,,,,,,,"(화려한 외관에 비해, 그의 서글픈 표정은 내 마음을 어지럽혔다.",
,,,,,,,,(그는 머뭇거리며 조심스레 입을 열었다.,
,A,아드리안,A_default_des,,,,,···이런 식으로 마주하고 싶진 않았는데.,
,,,,,,,,"(오랜만에 듣는 그의 음성은,",
,,,,,,,,(조금은 지쳤는지 원래 내가 알고 있던 톤보다 낮은 음색이었다.,
,A,아드리안,A_default_def,,,,,난 아드리안 하몬.,
,,,,,,,,(제국의 성을 붙였던 나와는 달랐다.,
,,,,,,,,(어쩔 수 없었을 거라고 생각헸다.,
,,,,,,,,"(그는 내게 여태 숨겨온 게 고작, 이름뿐이 아닐 테니.",
,A,아드리안,A_default_def,,,,,프라타히라 왕국의 왕자야.,
,S,세레나,,,,,,······.,
,,,,,,,,(내가 알고 있던 것과는 완전히 달랐다.,
,,,,,,,,(타나를 죽였던 사람이 왕자이지 않았던가.,
,,,,,,,,"(하지만, 왜 지금은 그가 자신이 왕자라고 말하는 걸까.",
,,,,,,,,(대체 어디서부터 이렇게 꼬인 걸까.,
,S,세레나,,,,,,···확실해?,
,S,세레나,,,,,,네가 프라타히라의 왕자라는 거.,
,S,세레나,,,,,,"나는 여태 내가 직접 보고 들은 것만 믿었는데,",
,S,세레나,,,,,,지금은 잘 모르겠어. ,
,S,세레나,,,,,,대체 난 너의 뭘 믿어야 하는 거야?,
,A,아드리안,A_default_def,,,,,······.,
,S,세레나,,,,,,"또, 내가 네 기사를 공격했을 때는 왜 말해주지 않은 거야?",
,S,세레나,,,,,,내가 오해하고 있었다는 걸 알고 있었을 텐데.,
,A,아드리안,A_default_des,,,,,너한테 미움받는 게 두려웠어.,
,A,아드리안,A_default_des,menu,,,,네가 프라타히라의 왕자를 증오했으니까.,
,,,,choise1,,,,비겁한 변명하지 마.,아드리안 호감도 5 상승
