background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,,,,,,,,제목 : 마지막 비호,
Kingdom_way,,,,,,dis,,(황후가 세레나에 의해 감금되었다는 소식이 황궁에 울려 퍼졌다.,황궁복도
,,,,,,,,(당연한 치사였는지도 모른다. ,
,,,,,,,,"(프라타히라 왕국이 세레나의 편이 되어, 황궁을 함께 휩쓸었으니.",
,황실 기사단,황실 기사단,Knight_default,,,,,세레나 황녀는 황제가 애지중지했던 딸 아니었어?,
,황실 기사단,황실 기사단,Knight_default,,,,,"프라타히라 왕국이 황녀를 돕다니, 무슨 일이야?",
,황실 기사단,황실 기사단,Knight_default,,,,,지금 뭐가 어떻게 돌아가고 있는 거냐고!,
,,,,,,,,(순식간에 여론이 흔들렸다.,
,,,,,,,,"(하지만, 에런 만큼은 그러지 못했다. 아니, 그럴 수 없었다.",
,E,에런,E_default_des,,,,,"나마저도 진압되는 건 순식간이겠지만,",
,E,에런,E_default_des,,,,,황후의 세력은 아직도 많이 남아있어. 곧 황궁으로 몰려들 거고.,
,E,에런,E_default_des,,,,,여전히 세레나에게 승산은 없어···.,
black,,,,,,,,(에런은 남은 황실 기사단을 이끌고 황후가 감금되어 있는 곳으로 향했다.,검은 화면
,,,,,,,,"(황궁의 지리와, 비밀 통로를 꿰고 있는 에런에게는 쉬운 일이었다.",
,,,,,,,,(황후를 구출해 낸다는 것은 말이다.,
,E,에런,E_default_des,,,,,이건 다 세레나를 위해서야.,
Prison,황후 카일리,황후 카일리,Q_default_lah,,,,,"하하, 네가 오기를 기다리고 있었단다.",감옥 배경 OR 쓸만한 남는 배경 있을가요
,황후 카일리,황후 카일리,Q_default_smi,,,,,너라면 알고 있었겠지. 여기서 끝이 아니라는 걸.,
,황후 카일리,황후 카일리,Q_default_smi,,,,,"그 아이, 생각보다 많은 걸 준비해 뒀더구나.",
,황후 카일리,황후 카일리,Q_default_smi,,,,,이건 나도 놀랐어.,
,E,에런,E_default_des,,,,,······.,
,E,에런,E_default_def,,,,,무의미한 싸움을 빨리 끝내고 싶습니다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"그래, 그건 나도 마찬가지란다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,황궁 외곽 쪽으로 병사들과 정예 기사단을 준비해 놓았어.,
,황후 카일리,황후 카일리,Q_default_def,,,,,어서 움직이자꾸나.,
,E,에런,E_default_def,,,,,···기사들과 먼저 가고 계십시오.,
,황후 카일리,황후 카일리,Q_default_bad,,,,,"허튼짓은 하지 않는 게 좋아, 에런.",
,E,에런,E_default_def,,,,,"네, 잘 알고 있습니다.",
black,,,,,,,,,검은 화면
Kingdom_way,,,,,,tension5,,,황궁 복도
,S,세레나,,,,,,"이제는 스승님··· 아니, 에런을 찾아야 해.",
,,,,,,,,"(황후는 붙잡아뒀으니, 다른 불씨를 꺼트려야만 했다.",
,H,헤안,H_default_emb,,,,,세레나님!,
,H,헤안,H_default_emb,,,,,황후가 탈출했다고 합니다.,
,H,헤안,H_default_bad,,,,,행방을 알 수 없었던 에런 경이 도운 것 같습니다.,
,,,,,,,,(간과했다. 이곳은 그들의 소굴이라는 것을.,
,S,세레나,,,,,,"그래, 이렇게 쉽게 끝날 리가 없지.",
Forest_night,,,,,,,,"(나는 아드리안, 헤안과 함께 예상되는 도망 경로로 향했다.",숲 배경(저녁)
,,,,,,,,(녹스에게는 황후가 황궁 밖으로 나가지 않게 감시해달라는 부탁을 남겼다. ,
,,,,,,,,"(도망 경로에 도착했을 때, ",
,,,,,,,,"(황후는 이미 사라진지 오래였고, 혼자 남아 서 있는 스승님이 보였다.",
,S,세레나,,,,,,"아드리안, 헤안.",
,S,세레나,,,,,,둘은 기사단과 함께 황후를 계속 쫓는 게 좋겠어.,
,A,아드리안,A_default_emb,,,,,뭐?,
,H,헤안,H_default_emb,,,,,···하지만.,
,S,세레나,,,,,,"괜찮으니까, 빨리.",
,,,,,,,,(나는 둘을 황후가 있는 쪽으로 보냈다.,
,,,,,,,,"(스승님의 행동들이 다 이해가 되지 않아서,",
,,,,,,,,(그래서 마지막으로 대화를 나누고 싶었다.,
,,,,menu,,,,(혹시라도 내가 모르는 진실이 있을 까봐.,
,,,,choise1,,,,왜 이런 짓을 벌인 거죠?,에런 호감도 0
,,,,choise2,,,,저한테 할 말 있으실 것 같은데··· 아닌가요?,에런 호감도 10 상승
,S,세레나,,jump1,,,,왜 이런 짓을 벌인 거죠?,
,S,세레나,,,,,,정말 부패한 황실을 엎고 싶었던 겁니까?,
,S,세레나,,,,,,제가 봤을 때는 아닌 것 같은데.,
,S,세레나,,jump2,,,,저한테 할 말 있으실 것 같은데···.,
,S,세레나,,,,,,아닌가요?,
,E,에런,E_default_des,,,,,······.,
,E,에런,E_default_des,,,,,"나는 너를 처음 봤을 때부터 지금까지,",
,E,에런,E_default_des,,,,,지켜야겠다는 마음뿐이었어.,
,E,에런,E_default_des,end,,,,···이번 한 번만 물러나 주면 안 되는 거야?,
,S,세레나,,,,,,지금 황후가 제국을 망치는 걸 가만히 보고만 있으라는 거예요?,
,,,,,,,,"(황후가 어떤 사람인지 알고 있다면, 절대 할 수 없는 말이었다.",
,E,에런,E_default_des,,,,,네가 살려면 이 방법밖에는 없어.,
,S,세레나,,,,,,"당신이 황제가 되는 게, 나를 살리는 거라고요?",
,S,세레나,,,,,,그건 오히려 나를 죽이는 겁니다.,
,S,세레나,,,,,,"스승님의 말, 행동 그 모든 게 모순적이에요.",
,E,에런,E_default_emb,,,,,"세레나, 제발···!",
,,,,,,,,"(스승님은 내 손을 잡고, 간절하게 외쳤다.",
,E,에런,E_default_des,,,,,황후에게는 아직도 세력이 많이 남아있어.,
,E,에런,E_default_des,,,,,왕국을 끌어들여도 안 된다고.,
,E,에런,E_default_des,,,,,여론도 황후와 내 쪽이 더 우위야.,
,E,에런,E_default_des,,,,,아직도 현실을 모르겠어?,
,,,,,,,,(더 이상 스승님의 말을 들을 가치가 없었다.,
,,,,,,,,(나는 분노에 휩싸였다.,
,,,,shake,slap,,,"(손을 쳐내, 스승님의 뺨을 내리쳤다. ",화면 흔들림
,S,세레나,,,,,,현실을 모르는 건 스승님이겠죠!,뺨 맞는 소리
,S,세레나,,,,,,스승님은 그저 꼭두각시일 뿐이에요.,
,S,세레나,,,,,,"스승님이 황제가 된다 해도, 이 제국은 변하지 않을 겁니다.",
,,,,,,,,"(그때, 갑자기 근처에서 큰 소리가 나기 시작했다.",
,,,,,,,,"(칼이 맞부딪히고, 사람들이 괴성을 지르는 소리가.",
,,,,,,,,(그리고 그 소리는 아드리안과 헤안을 보냈던 방향에서 나고 있었다.,
,S,세레나,,,,,,또 무슨 짓을 벌인 거예요?,
,E,에런,E_default_des,,,,,"말했잖아···. 황후에게는 네가 모르는, 숨겨져 있는 세력이 아직도 많이 남아있다고.",
,,,,,,,,"(나는 그의 말을 듣자마자, 아드리안과 헤안이 있는 방향으로 급하게 뛰어갔다.",검은화면
Forest_fire,,,,,,,,(스승님 또한 나를 뒤따랐다.,숲배경 (어지럽혀진?)
,,,,,,ptsd7,,"(그러나 이미 내가 도착했을 때는, 늦은 후였다.",
,,,,,,,,"(헤안과 아드리안, 그리고 기사단원들은 상처투성이인 채로 널브러져 있었고, ",
,,,,,,,,(황후의 전력이 내 앞을 가로막았다.,
,,,,,,,,"(황후는 그 틈에서 안전한 보호 아래에, 서 있었다.",
,E,에런,E_default_des,,,,,······.,
,,,,,,,,(나는 원망스러운 눈빛으로 뒤따라온 스승님을 쳐다봤다.,
,S,세레나,,,,,,이게 스승님이 원하시던 겁니까?,
,,,,,,,,(스승님의 눈은 세차게 흔들리고 있었다.,
,E,에런,E_default_des,,,,,···세레나는 물론 세레나의 측근도 건드리지 마십시오.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"이거 하지 말라, 저거 하지 말라.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"그럼, 대체 나는 뭘 하라는 거니.",
,,,,,,,,(황후가 앞으로 나섰다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"에런, 이래서 황제의 역할은 제대로 할 수나 있겠니?",
,황후 카일리,황후 카일리,Q_default_def,,,,,"그 자리에 올라가기 위해서, 손에 피 묻히는 건 어쩔 수 없는 일이야.",
,E,에런,E_default_des,,,,,······.,
,황후 카일리,황후 카일리,Q_default_def,,,,,넌 너무 나약하구나···.,
,황후 카일리,황후 카일리,Q_default_def,,,,,너를 강하게 키우지 못한 이 어미 잘못일지도 모르겠어.,
,E,에런,E_default_emb,,,,,···그게 대체 무슨 소리십니까?,
,황후 카일리,황후 카일리,Q_default_def,,,,,이제는 말도 제대로 못 알아 듣는 거니.,
,황후 카일리,황후 카일리,Q_default_smi,,,,,"내가 네 친모라고, 에런.",
,,,,,,,,(둘의 대화를 따라갈 수가 없었다.,
,,,,,,,,(이 상황이 그저 충격적이었다.,
