background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,,,,,,,,제목 : 머나먼 여행의 종착지,
Forest_fire,,,,,,tension5,,(황후의 칼을 막은 건 아드리안이었다.,숲배경 (밤)
,A,아드리안,A_default_bad,,,,,늦지 않아서 다행이다.,
,A,아드리안,A_default_bad,,,,,"황후의 움직임이 심상치 않아 보여서 달려왔는데,",
,A,아드리안,A_default_bad,,,,,조금이라도 늦었다면 큰일 날 뻔했네.,
,,,,,,,,"(아드리안은 그 상태로, 칼을 잡고 있던 황후를 역으로 밀쳐냈다.",화면 흔들림
,황후 카일리,황후 카일리,Q_default_ang,shake,,,,악!,
,,,,,,,,(아드리안이 있던 곳에서 내가 있는 이곳까지는 상당한 거리가 있었다.,
,,,,,,,,(단숨에 달려온 그의 빠른 속도에 놀라야 할지,
,,,,,,,,(아니면 갑옷 부근에 피가 흥건한 모습에 먼저 놀라야 할지 당황스러웠다.,
,S,세레나,,,,,,야! 이 피는 뭐야? 너 괜찮은 거 맞아?,
,,,,,,,,(황후의 기사와 전투를 치르면서 입게 된 상처인 걸까?,
,,,,,,,,(그의 소매 밑으로 피가 뚝뚝 흘렀다.,
,,,,,,,,(나는 곧바로 아드리안의 팔목을 붙잡고 외쳤다.,
,S,세레나,,,,,,여긴 또 왜 이래? 많이 아파? 금방 치료해 줄 테니까 가만히 있어봐!,
,A,아드리안,A_default_smi,,,,,"야, 나 괜찮아.",
,S,세레나,,,,,,괜찮긴 뭐가 괜찮아! 너 피 엄청 흘려!,
,A,아드리안,A_default_smi,,,,,이거 황후 기사단 놈들의 피야.,
,S,세레나,,,,,,뭐? 황후 기사단?,
,A,아드리안,A_default_smi,,,,,"그 자식들, 비겁하게 떼거리로 몰려들더라고.",
,A,아드리안,A_default_smi,,,,,"나도 살긴 해야 하니까 급소 위주로 공격했더니, 그때 피가 좀 튀겼어.",
,A,아드리안,A_default_smi,,,,,내 피는 아니니까 걱정하지 말고.,
,,,,,,,,(아드리안은 어린아이처럼 미소를 지으며 내 머리를 쓰다듬었다.,
,,,,,,,,(하지만 속일 사람을 속여야 했다.,
,,,,,,,,"(이 힘으로 사람을 치료한 적이 한두 번이 아닌, 내가 모를 수 없었다.",
,A,아드리안,A_default_des,,,,,아!,
,,,,,,,,(나는 아드리안의 상처를 조심스레 눌렀다.,
,,,,,,,,(역시나 갑옷에서 떨어지는 피는 이 녀석이 것이었다.,
,S,세레나,,,,,,"이럴 줄 알았어. 아프면 말하지, 뭣 하러 참아?",
,A,아드리안,A_default_bad,,,,,"이까짓 상처는 아무것도 아니야, 버틸 수 있다고!",
,S,세레나,,,,,,내가 치료해 줄 수 있잖아. 괜히 고집부리지 마.,
