background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,,,,,,,,제목 : 유배된 마음,
Forest_fire,,,,,,tension5,,"(아군들 치유에 신경 쓰느라, 피하지 못한 황후의 칼을 막아준 건",숲배경 (밤)
,,,,,,,,(에런 스승님이었다.,
,,,,,,,,"(예기치 못한 상황에 다급했는지, 맨손으로 그녀의 칼날을 쥐고 있었다.",
,E,에런,E_default_ang,,,,,카일리!!!,
,E,에런,E_default_ang,,,,,아직도 정신을 차리지 못한 겁니까?,
,황후 카일리,황후 카일리,Q_default_bad,,,,,"네까짓 게, 제 주제를 모르고···.",
,황후 카일리,황후 카일리,Q_default_bad,,,,,그딴 사생아 년 하나 지키겠다고 나를 배신해?,
,,,,,,,,(황후는 에런을 향해 소리치기 시작했다.,
,,,,,,,,"(그리고 제 옆에 떨어져 있던 단검을 들고 달려들었다,",
,E,에런,E_default_ang,,,,,이젠 당신 손에 놀아나지 않겠습니다.,
,S,세레나,,,,,,스승님!,
,,,,,,,,"(에런은 제게 달려드는 황후의 움직임을 피한 뒤, 역으로 그녀를 밀쳐냈다.",
,황후 카일리,황후 카일리,Q_default_ang,shake,,,,악!,화면 흔들림
,,,,,,,,"(칼을 휘두른 패기와는 달리, 그녀는 힘없이 무너졌다.",
,,,,,,,,"(하지만 스승님의 손은 깊게 패여, 피가 멈추지 않고 있었다.",
,E,에런,E_default_emb,,,,,"세레나, 괜찮아?",
,,,,,,,,(스승님의 손에는 피가 흥건했다.,
,,,,,,,,"(제 상처가 더 심해 보이는데, 스승님은 내가 더 걱정인 듯 보였다.",
,,,,,,,,(생각해 보면 스승님께서는 자신보다 늘 나를 더 신경 쓰셨다.,
,,,,,,,,(대체 왜 그러시는 걸까.,
,S,세레나,,,,,,저는 괜찮아요. 다만···.,
,S,세레나,,,,,,대체 당신은 무엇으로부터 나를 지키고 있었던 거예요?,
,S,세레나,,,,,,이건 스승님이 원하는 게 아니었던 거죠?,
,E,에런,E_default_des,,,,,예상 밖의 일이긴 했어.,
,E,에런,E_default_des,,,,,"하지만, 지금이라도 바로잡아보려 해.",
,S,세레나,,,,,,"그럼, 제발 조심 좀 하시라고요!",
,,,,,,,,(나는 그 말을 끝으로 스승님의 손을 치유해 줬다.,
,,,,,,,,(스승님은 내 손을 거부하지 않으셨다.,
,S,세레나,,,,,,하···.,
,S,세레나,,,,,,생각보다 상처가 심했어요. 이대로 갔으면 다신 손을 쓰지 못하셨을 거라고요!,
,E,에런,E_default_def,,,,,"네가 다치지 않는다면, 내 손 따위 못 써도 그만이야.",
,S,세레나,,,,,,말도 안 되는 소리 하지 마세요.,
,,,,,,,,(그때 쓰러져있던 황후가 휘청거리며 일어섰다.,
,황후 카일리,황후 카일리,Q_default_bad,,,,,네 년 하나 때문에···.,
,,,,,,,,(그녀는 이미 정신을 놓은 것 같았다.,
,,,,,,,,(스승님은 천천히 그녀에게 다가갔다.,
,S,세레나,,,,,,"에런 스승님, 제가 처리할게요, 비켜주세요!",
,E,에런,E_default_bad,,,,,"아니, 카일리는 내 손으로 처리하게 해줘.",
,E,에런,E_default_bad,,,,,그동안 나를 갖고 놀았던 걸 생각하면··· 이건 내가 끝내야 하는 게 맞다고 생각해.,
,E,에런,E_default_def,,,,,"세레나, 이해해 주겠어?",
,S,세레나,,,,,,"···스승님께서 그렇게까지 말씀하신다면 상관은 없지만, ",
,S,세레나,,,,,,정말 그래도 괜찮으신 겁니까?,
,황후 카일리,황후 카일리,Q_default_bad,,,,,그래! 난 너의 친모라고. 설마 네 어미를 직접 죽일 생각은 아니겠지?,
,,,,,,,,(에런은 입술을 짓이겼다.,
,,,,,,,,(그녀의 말이 불쾌한 듯했다.,
,E,에런,E_default_bad,,,,,제게 친어머니는 없습니다.,
,E,에런,E_default_bad,,,,,"이미 오래전에 죽었고,",
,E,에런,E_default_bad,,,,,지금 제가 다시 한번 죽일 테니까요.,
,,,,,,,,(에런은 천천히 황후에게로 향했다.,
,E,에런,E_default_bad,,,,,확실하게 말해드릴까요?,
,E,에런,E_default_bad,,,,,"애초에 모든 일은 나 때문이 아니라, 카일리 바로 당신 때문입니다.",
,E,에런,E_default_bad,,,,,"물론 저도 가담했으니, 제 탓도 있겠죠.",
,E,에런,E_default_bad,,,,,하지만 당신에 비하면 전 아무것도 아닐 겁니다.,
,E,에런,E_default_bad,,,,,"죄 없는 사람들이 고통받으며 죽어 나간 것도, 제국을 이렇게 망쳐놓은 것도,",
,E,에런,E_default_bad,,,,,당신 본인을 이렇게나 몰아간 것도.,
,황후 카일리,황후 카일리,Q_default_ang,,,,,···이러면 안 되는 거잖아!,
,황후 카일리,황후 카일리,Q_default_ang,,,,,불공평해. 이건 불공평하다고!,
,S,세레나,,,,,,"당신의 마지막이 이런 식으로 될 줄 알았다면, 처음부터 손을 잡지 않았을 텐데···.",
,S,세레나,,,,,,"이제 와서 후회한들 늦었지만, 부디 지옥으로 떨어지길 바랍니다.",
,황후 카일리,황후 카일리,Q_default_bad,,,,,반드시 다음에는···.,
,,,,,,,,(그녀는 부릅뜬 눈으로 에런을 쳐다보고 있었다.,
,E,에런,E_default_bad,,,,,당신에게 다음 따윈 존재하지 않습니다.,화면 흔들림
,,,,shake,sword_damage2,,,(그 말을 끝으로 에런은 황후의 목을 베었다.,칼소리
,E,에런,E_default_bad,,,,,······.,
Forest_night,,,,,,,,(에런은 숨을 들이쉬었다.,
