background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,,,,,,,,제목 : 달이 지지 않는 밤,
Forest_fire,,,,,,nox4,,(황후의 칼을 막은 건 녹스였다.,숲배경 (밤)
,,,,,,,,"(마법 때문인지, 황후의 움직임이 완전히 멈춘 상태였다.",
,N,녹스,N_default_bad,,,,,"외곽에서 지켜보다가, 네 힘이 폭발적으로 늘어나길래",
,N,녹스,N_default_bad,,,,,혹시나 해서 왔는데.,
,,,,,,,,"(그는 공중에서 천천히 내려와, 내게 다가왔다.",
,,,,,,,,"(동시에 별들을 흩뿌리듯, 마법을 펼쳐냈고",
,,,,,,,,(상대들의 움직임 또한 황후처럼 멈췄다.,
,N,녹스,N_default_smi,,,,,잘 온 것 같네.,
,N,녹스,N_default_smi,,,,,그치?,
,,,,,,,,"(마치, 어두운 밤에 고고히 떠 있는 달 같았다.",
,,,,,,,,(그 누구도 닿을 수 없는.,
,S,세레나,,,,,,응.,
,,,,,,,,(하지만 나만큼은 그에게 닿을 수 있는 모양이었다.,
,,,,,,,,(녹스는 내 어깨에 손을 올렸다.,
,S,세레나,,,,,,그나저나 이래도 돼? 너무 직접적으로 개입하는 거 아니야?,
,N,녹스,N_default_smi,,,,,"마탑도 갈아엎는 중인데, 이 정도 어기는 것쯤 문제가 될까.",
,N,녹스,N_default_smi,,,,,"그리고, 네 일이 곧 내 일이니까 괜찮아.",
,,,,,,,,(황후 측의 기사단은 녹스의 등장에 모든 의욕을 상실했다.,
,,,,,,,,(승리와 패배가 결정됐다.,
,S,세레나,,,,,,"녹스, 마법을 풀어줘.",
,,,,,,,,(나는 황후에게 천천히 다가갔다.,
,,,,,,,,"(황후를 안 이후로, 처음이었다.",
,,,,,,,,(엉망이 된 머리와 힘없이 주저앉은 모습이.,
,황후 카일리,황후 카일리,Q_default_bad,,,,,네년 하나 때문에···.,
,S,세레나,,,,,,확실하게 말해드릴까요?,
,S,세레나,,,,,,"나 때문이 아니라, 당신 때문입니다.",
,S,세레나,,,,,,"죄 없는 사람들이 고통받으며 죽어 나간 것도, 제국을 이렇게 망쳐놓은 것도,",
,S,세레나,,,,,,당신 본인을 이렇게나 몰아간 것도.,
,황후 카일리,황후 카일리,Q_defualt_ang,,,,,···이러면 안 되는 거잖아!,
,황후 카일리,황후 카일리,Q_defualt_ang,,,,,불공평해. 이건 불공평하다고!,
,S,세레나,,,,,,당신에게 어떤 사정이 있었는지는 알지 못해요. 알고 싶지도 않고.,
,S,세레나,,,,,,이제 그만 둡시다.,
,,,,,,,,(나는 망연자실해 있는 그녀를 향해 칼을 꺼내 들었다.,
,,,,,,,,"(여기까지 오는 데에 정말 긴 시간이 걸렸고, 많은 사건 사고를 겪었다.",
,,,,,,,,"(하지만 그에 비해, 그녀의 목숨 하나로 모든 게 끝나는 게 허무한 것 같기도 했다.",
,,,,,,,,"(어찌 보면, 너무나도 간단한 해결이었다.",
,황후 카일리,황후 카일리,Q_default_bad,,,,,반드시 다음에는···.,
,,,,,,,,(그녀는 부릅뜬 눈으로 나를 쳐다보고 있었다.,
,S,세레나,,,,,,다음이란 당신에게 없어요.,화면 흔들림
,,,,shake,sword_damage2,,,(나는 그렇게 그녀의 목을 베었다.,칼소리
,S,세레나,,,,,,있어서도 안 되고.,
Forest_night,,,,,,peace,,(숨을 들이쉬었다.,
,S,세레나,,,,,,끝났네. 다.,
,,,,,,,,"(그리고, 나는 외쳤다.",
,,,,,,,,다들 멈춰!,
,,,,,,,,"반역자 에런은 황위를 포기했고, 황후는 죽었다.",
,,,,,,,,이 이상의 전투는 내가 직접 처단하겠다.,
,,,,,,,,(황후의 지원군과 기사단은 칼을 내려놓기 시작했다.,
,N,녹스,N_default_smi,,,,,마법사 칭호는 네가 가져가야겠는데?,
,N,녹스,N_default_smi,,,,,나보다 더 빨리 목표를 이뤘으니까.,
,,,,,,,,"(녹스는 내 뒤로 다가와, 내게 평소와 같은 장난 섞인 말을 던졌다.",
,S,세레나,,,,,,"아직, 정리하려면 멀었어.",
,N,녹스,N_default_def,,,,,그래도.,
,,,,,,,,(녹스는 슬며시 내 손에 있는 검을 가져갔다.,
,N,녹스,N_default_def,,,,,"피 덮어쓴 너도 좋긴 한데,",
,N,녹스,N_default_def,,,,,이제 숨 좀 돌려.,
,,,,,,,,"(하지만 숨 돌릴 틈 없이, 아드리안과 헤안이 다가왔다.",
,,,,,,,,(녹스는 묘하게 그들을 경계했다.,
,S,세레나,,,,,,"아드리안, 고마워.",
,A,아드리안,A_default_smi,,,,,별말씀을.,
,A,아드리안,A_default_smi,,,,,"나는 이제 왕국으로 돌아가서, 이 소식을 알려야겠네.",
,S,세레나,,,,,,"응, 왕국 건에 대해서는 내가 정식으로 찾아갈게.",
,S,세레나,,,,,,헤안님도 여기까지 오는 데에 고생 많으셨습니다.,
,S,세레나,,,,,,"앞으로 같이 정리해야 할 게 많을 것 같지만, 잘 부탁드릴게요.",
,H,헤안,H_default_smi,,,,,"네, 물론이죠.",
,,,,,,,,"(나는 어찌 되었든, 황후의 사람들도 치유해 줬다.",
,,,,,,,,"(그들 또한 나와 같은 충실한 황실의 개였고, 황후의 말을 들어야 했을 테니.",
,,,,,,,,"(가장 중요한 건, 그들도 제국인이라는 거였다.",
,,,,,,,,(그래서 그들을 처단하는 것보다는 징계를 내리는 것이 옳다고 생각했다.,
,,,,,,,,(그리고 스승님이 천천히 걸어와 내게 말을 건넸다.,
,E,에런,E_default_des,,,,,현실을 모르는 건 나였어. 세레나.,
,E,에런,E_default_des,,,,,용서하지 않아도 돼.,
,S,세레나,,,,,,···스승님의 처분에 대해서는 생각해 보겠습니다.,
,S,세레나,,,,,,각오하셔야 할 겁니다.,
,S,세레나,,,,,,"당신이 평생 짊어질 수 있는 벌이자, 숙제를 내드릴게요.",
black,,,,,,,,"(그렇게 황궁의 불은 사그라들었고,",검은 화면
,,,,,,,,(나는 황후의 목을 성문 앞에 내걸었다.,
,,,,,,,,(그리고 제국민 앞에서 선언했다. ,
,,,,,,,,(제국의 미래에 전쟁과 황실의 횡포는 없을 것이라고.,
,,,,,,,,(모든 게 끝난 이후에는 정신없이 바빴다.,
,,,,,,,,(사실상 에프탈 제국은 지금부터 시작이었으니까.,
Kingdom_way,H,헤안,H_default_def,,,comfort7,,"세레나님, 오늘 출궁하시는 날 아니셨습니까?",황궁 복도
,S,세레나,,,,,,아 맞다!,잔잔한 브금
,,,,,,,,(완전히 잊고 있었다.,
,,,,,,,,(제국을 정리하느라 정신이 없었으니.,
,H,헤안,H_default_def,,,,,그분이 기다리실 겁니다.,
,S,세레나,,,,,,기다리고 있진 않을걸요?,
,S,세레나,,,,,,"이미 도착해서는, 곁에서 음침하게 지켜보고 있을 게 뻔합니다.",
,S,세레나,,,,,,안 그래?,
,S,세레나,,,,,,녹스.,
,N,녹스,N_default_smi,,,,,"여전하네. 실력 하나도 안 녹슬었어, 세레나.",
,S,세레나,,,,,,좋은 거 맞지?,
,N,녹스,N_default_smi,,,,,"그럼, 당연하지.",
,N,녹스,N_default_smi,,,,,아무튼 빨리 끝내~,
,N,녹스,N_default_smi,,,,,나 심심해. 마탑도 다 정리하고 온 거란 말이야.,
