background,Chrt_ID,이름,Chrt_OnF,Event,Sound,BGM,BGM2,Text,효과음
,,,,,,,,제목 : 혼란의 씨앗,
,,,,,,ptsd2,,(황제가 서거하였다.,
black,,,,,,,,(그것이 전보의 내용이었다. ,검은 화면
,,,,,,,,(나는 헤안과 함께 곧바로 공작의 집무실로 향했다.,
Noble_work,레이워스 공작,레이워스 공작,HF_default,,,,,"헤안에게 소식을 들으신 모양입니다, 황녀님.",집무실
,S,세레나,,,,,,네···. 그렇습니다.,
,레이워스 공작,레이워스 공작,HF_default,,,,,"이미 눈치를 채셨을지 모르겠지만, 황제가 죽은 것 자체는 시간이 꽤 된 것 같습니다.",
,레이워스 공작,레이워스 공작,HF_default,,,,,"무슨 이유에선지는 모르겠지만 황실은 공작가를 끌어내고, 전쟁을 지속시키기 위해 이 사실을 숨겨왔던 모양입니다.",
,,,,,,,,(최근 황실의 급한 행보들은 모두 황제의 죽음이 알려지기 전에 처리해야 할 것이었다.,
,,,,,,,,"(그래야만, 정당성이 부여되는 일들이었으니까. 흩어져있던 퍼즐 조각이 하나둘씩 맞는 기분이었다.",
,,,,,,,,(황제는 이용당했다. 아마도 타살당했을 가능성이 높았다.,
,,,,,,,,"(그럼, 그동안 있었던 전쟁은 황제의 짓이 아니었던 걸까? 그도 나처럼 꼭두각시인 채로 이용당했던 걸까.",
,S,세레나,,,,,,황제는 지금껏 누군가에게 이용 당해왔던 걸까요?,
,레이워스 공작,레이워스 공작,HF_default,,,,,그건 아닐 겁니다. 황제가 배신당했을 확률이 높습니다.,
,레이워스 공작,레이워스 공작,HF_default,,,,,"그가 이용당하거나, 연약한 성정은 아니니까요.",
,,,,,,,,(공작의 말이 맞았다. 황제는 피해자보다는 가해자가 어울리는 사람이었다.,
,,,,menu,,,,(그렇다면···. ,
,,,,choise1,,,,황제를 시해한 사람은 '황후'일 것이라는 추측을 말한다.,헤안 호감도 0
,,,,choise2,,,,황제를 시해한 사람은 '황태자'일 것이라는 추측을 말한다.,헤안 호감도 10 상승
,S,세레나,,jump1,,,,"그렇네요. 그럼, 황후가 황제를 배신한 거겠군요.",
,레이워스 공작,레이워스 공작,HF_default,,,,,아니요. 그럴 리는 없을 겁니다.,
,레이워스 공작,레이워스 공작,HF_default,,,,,"제국민 모두가 알다시피, 황후의 황제 사랑은 유명한 이야기니까요.",
,레이워스 공작,레이워스 공작,HF_default,,,,,"저 또한 여태 직접 본 거에 의하면, 그녀가 그랬을 거라고는 생각 안 합니다.",
,,,,,,,,(에프탈 제국 사람이라면 황후가 황제를 진심으로 사랑한다는 것쯤은 모를 수 없는 이야기였다.,
,,,,,,,,(둘의 애절한 사랑 이야기가 서적이나 연극으로도 팔릴 정도였으니 말이다.,
,,,,,,,,"(무엇보다 황후가 황제를 죽여서 얻을 수 있는 것도 없었다. 어차피 본인의 아들이 훗날 차기 황제가 될 텐데, 굳이 서두를 필요가 없지 않은가.",
,레이워스 공작,레이워스 공작,HF_default,,,,,"오히려, 황태자 측이 황제를 배신했을 겁니다.",
,,,,,,,,(황태자···. 그를 잊고 있었다.,
,,,,,,,,(야망과 욕심으로는 황제를 넘어서는 인물. 그는 항상 이 제국의 모든 것을 얻기 위해 안달이 나 있었다.,
,,,,,,,,(황태자라면 황권을 위해서라면 제 아비를 살해하고도 남을 인간이었다.,
,S,세레나,,,,,,제가 황태자를 잊고 있었군요···.,
,S,세레나,,,,,,그가 제1황위 계승자인데 말이죠.,
,,,,,,,,"(헤안은 직접 대화에 참여하지는 않았지만, 고개를 끄덕였다.",
,,,,,,,,(그도 같은 생각을 하고 있는 듯했다.,
,S,세레나,,jump2,,,,"그렇네요. 그럼, 역시 황태자밖에 없겠군요. ",
,S,세레나,,,,,,그는 황제의 죽음에서 가장 얻을 것이 많은 자니까요.,
,레이워스 공작,레이워스 공작,HF_default,,,,,"네, 제 생각도 그렇습니다. ",
