background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,,,,,,,,제목 : 숨겨진 진실,
Kingdom_table,황후 카일리,황후 카일리,Q_default_def,,,ptsd7,,"사생아도 황궁으로 돌아왔으니, 슬슬 시작해야겠구나···.",알현실 배경
,황후 카일리,황후 카일리,Q_default_smi,,,,,그렇지 않니? 황태자.,
,황태자,황태자,P_default,,,,,···에.,
,,,,,,,,"(황태자는 침을 흘리며, 먼 곳을 바라보고 있었다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"때가 머지않았으니, 얌전히 기다리렴.",
,,,,,,,,(세레나가 나간 지 얼마 되지 않은 알현실에서의 대화였다. ,
,,,,,,,,"(곧이어, 알현실에 황후의 심복이 찾아왔다.",
,황후 심복,황후 심복,Nobility1,,,,,황후 폐하를 뵙습니다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"그래, 인사는 됐고.",
,황후 카일리,황후 카일리,Q_default_def,,,,,이제 얼마 남지 않았구나.,
,황후 카일리,황후 카일리,Q_default_def,,,,,역겨운 황제가 손을 댔던 제국이 무너지는 날이.,
,황후 심복,황후 심복,Nobility1,,,,,"예, 맞습니다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,황제 하나 죽이는 데에 얼마나 오랜 시간이 걸렸는지 몰라.,
,황후 카일리,황후 카일리,Q_default_bad,,,,,"여자들이랑 허구한 날 뒹구는 새끼가,",
,황후 카일리,황후 카일리,Q_default_bad,,,,,나를 아낀다는 소문이 돌 때마다 화가 얼마나 치미던지.,
,황후 카일리,황후 카일리,Q_default_bad,,,,,사생아도 달고 있는 주제에.,
,황후 심복,황후 심복,Nobility1,,,,,에런님을 불러올까요?,
,황후 카일리,황후 카일리,Q_default_def,,,,,"아니야, 이미 불렀어.",
,황후 카일리,황후 카일리,Q_default_def,,,,,곧 이리로 올 거란다.,
,황후 카일리,황후 카일리,Q_default_smi,,,,,새로운 제국을 황제라는 자리로 맞이하게 될···,
,황후 카일리,황후 카일리,Q_default_smi,,,,,"나의 하나뿐인 아들, 에런 스노우가.",
,황후 심복,황후 심복,Nobility1,,,,,···에런님께는 알리시지 않는 겁니까?,
,황후 심복,황후 심복,Nobility1,,,,,본인이 황후님의 아들이라는 사실을요.,
,황후 카일리,황후 카일리,Q_default_lah,,,,,하하!,
,황후 카일리,황후 카일리,Q_default_smi,,,,,"에런이 그 사실을 알면, 퍽 내 말을 듣겠구나.",
,황후 카일리,황후 카일리,Q_default_smi,,,,,"오히려 자신의 정체에 죄책감을 느끼고, 떠나겠지.",
,황후 카일리,황후 카일리,Q_default_smi,,,,,내 아들은 지나치게 걱정이 많은 겁쟁이거든.,
,황후 카일리,황후 카일리,Q_default_bad,,,,,그러니 사생아 하나 따위에 휘둘리고 있는 거 아니겠니.,
,황후 카일리,황후 카일리,Q_default_def,,,,,그래도 에런은 나에게 너무나 소중한 아들이란다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"내 핏줄이지만, 더러운 황제의 핏줄이 아니잖아.",
,,,,,knock,,,"(그때, 누군가 알현실에 찾아왔다.",노크소리? 문열리는 소리? 뭐가 더 나을가요
,황후 카일리,황후 카일리,Q_default_def,,,,,늦었구나.,
,E,에런,E_default_def,,,,,"죄송합니다, 황제 폐하께 마지막으로 예를 갖추고 오는 길이었습니다.",
,,,,,,,,(에런은 황후에게 고개를 숙였다.,
