background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,,,,,,,,제목 : 귀속된 사람,
Forest_fire,,,,,,tension5,,"(아군들 치유에 신경 쓰느라, 피하지 못한 황후의 칼을 막아준 건",숲배경 (밤)
,,,,,,,,(헤안이었다.,
,,,,,,,,"(그 또한 예기치 못한 상황에 다급했는지, 맨손으로 그녀의 칼날을 쥐고 있었다.",
,S,세레나,,,,,,헤안!,
,,,,,,,,"(헤안은 그 상태로, 칼을 잡고 있던 황후를 역으로 밀쳐냈다.",화면 흔들림
,황후 카일리,황후 카일리,Q_default_ang,,,,,악!,
,,,,,,,,"(칼을 휘두른 패기와는 달리, 그녀는 힘없이 무너졌다.",
,,,,,,,,"(하지만 헤안의 손은 깊게 베여, 피가 멈추지 않고 있었다.",
,H,헤안,H_default_ang,,,,,괜찮으십니까?,
,,,,,,,,(또다.,
,,,,,,,,(그는 늘 안중에 나밖에 없다는 듯 굴었다.,
,,,,,,,,(속상할 정도로.,
,S,세레나,,,,,,제가 지금 괜찮겠어요?,
,S,세레나,,,,,,당신이 이렇게 다쳤는데?,
,S,세레나,,,,,,"저를 지키고 싶거든, 제발 본인부터 신경 써 주세요.",
,S,세레나,,,,,,그게 절 위한 거니까요···.,
,,,,,,,,(나는 그 말을 끝으로 헤안의 손을 치유해 줬다.,
,,,,,,,,(헤안은 당황한 듯 안절부절못하는 표정을 지었다.,
,S,세레나,,,,,,하···.,
,S,세레나,,,,,,그래도 고마워요. 구해줘서.,
,H,헤안,H_default_def,,,,,"···아마, 저는 몇 번이고 똑같은 행동을 취했을 겁니다.",
,H,헤안,H_default_def,,,,,저한테는 당신밖에 안 보이니까요.,
,H,헤안,H_default_def,,,,,그리고···.,
,,,,,,,,"(헤안이 말을 이으려던 찰나, 밀쳐났던 황후가 휘청거리며 일어섰다.",
,황후 카일리,황후 카일리,Q_default_bad,,,,,네년 하나 때문에···.,
,,,,,,,,(그녀는 이미 정신을 놓은 것 같았다.,
,,,,,,,,(나는 천천히 그녀에게 다가갔다.,
,H,헤안,H_default_emb,,,,,세레나님···!,
,S,세레나,,,,,,괜찮아요. 마지막만큼은 제가 끝내야죠.,
,S,세레나,,,,,,우리의 목표를 위해서.,
,,,,,,,,"(헤안을 뒤로하고, 황후와 눈을 마주했다.",
,S,세레나,,,,,,확실하게 말해드릴까요?,
,S,세레나,,,,,,"나 때문이 아니라, 당신 때문입니다.",
